名称,产地,产区,品种,含水量(%),处理法,密度(g/l),等级,海拔(m),产季,每公斤价格(人民币)
云南 奶油草莓,中国,云南,卡蒂姆,,酵母浸渍处理法,,AA,,2025,130
印度尼西亚 苏门答腊 多巴湖 黄金曼特宁19日,印度尼西亚,苏门答腊 多巴湖,Mandeling,12.8,湿法,820,G1,1100-1500,2025,103
印度尼西亚 苏门答腊 黄金曼特宁 PWN,印度尼西亚,苏门答腊,铁皮卡,12.6,湿法,850,G1,1350-1500,2025,
印度尼西亚 中爪哇 日晒 黄钻,印度尼西亚,中爪哇沙乡罗火山区,Catura Catinor,10.9,日晒处理,820,G1,1600-1800,2024,119
印度尼西亚 亚齐 塔瓦湖 厌氧日晒,印度尼西亚,亚齐省 塔瓦湖,Catinor,10.3,厌氧日晒,850,G1,1400,2024,
印度尼西亚 亚齐 曼特宁龙果长豆 半水洗,印度尼西亚,亚齐 格里庄,Abbysinia,13.2,半水洗,877,GRLTP 三次手选,1600,2025,120
印度尼西亚 印尼 西爪哇 水洗 蜜果（高甜）,印度尼西亚,西爪哇 WEST JAVA,铁皮卡,13,水洗处理,862,G1三次手选,1400-1800,2025,100
巴布亚新几内亚 科尔布兰庄园 瑰夏 水洗,巴布亚新几内亚,东森地 科尔布兰庄园,GEISHA,10.9,水洗处理,832,AA,1829,2024/2025,275
哥斯达黎加 托布希庄园 Villasarchi 日晒,哥斯达黎加,TOBOSI 庄园,Villasarchi,11.2,日晒处理,875,SHB,2000,2023,135
哥斯达黎加 小蜜蜂 日晒,哥斯达黎加,SAN VITO  LA ABEJILLA FARM,Venecia,10.7,日晒处理,903,SHB,1600,2023,135
哥斯达黎加 马丁帕迪拉处理厂 厌氧日晒,哥斯达黎加,塔拉珠,Villa Lobos薇拉罗伯斯,11.9,厌氧日晒处理,896,SHB,1800,2023,
哥斯达黎加 女神庄园 瑰夏 厌氧日晒,哥斯达黎加,Dota 女神庄园,Geisha,11,厌氧日晒,852,SHB,1800,2024,490
哥斯达黎加 圣萝蔓处理厂 蜂鸟 日晒,哥斯达黎加,塔拉珠,Caturra Caruai,10.3,日晒处理,877,SHB,1600,2025,110
哥斯达黎加 美洲虎 日晒处理,哥斯达黎加,塔拉珠,Caturra Caruai,11.8,日晒处理,849,SHB,1600-1900,2025,110
哥斯达黎加 美洲虎 红蜜处理,哥斯达黎加,塔拉珠,Caturra Caruai,12.5,红蜜处理,838,SHB,1600-1900,2025,112
哥斯达黎加 巨石庄园 瑰夏 日晒,哥斯达黎加,Finca Casa de Piedra,Celabina,11.5,日晒处理,870,SHB,1500-1700,2023,320
哥斯达黎加 西部山谷 蓝马车庄园 日晒,哥斯达黎加,West Valley,Caturra Canal,11.2,日晒处理,870,SHB EP,1400,2023,123
哥斯达黎加 西部山谷 蓝马车庄园 黄蜜处理,哥斯达黎加,West Valley,Caturra Canal,11.4,黄蜜处理,840,SHB,1400,2023,110
哥斯达黎加 火凤凰庄园 蓝宝石 慢速日晒,哥斯达黎加,火凤凰庄园 中风山谷,Caturra Canal,10.4,慢速日晒,910,SHB,1600,2023,130
哥斯达黎加 火凤凰庄园 黑玫瑰 厌氧日晒,哥斯达黎加,火凤凰庄园 中风山谷,Caturra,10.9,厌氧日晒处理,900,SHB,1600,2023,125
哥斯达黎加 塔拉珠 卡内特庄园 音乐家 贝多芬,哥斯达黎加,Camell庄园,Yellow Caturra,11.6,绿蜜处理,850,SHB,1900,2023,170
哥斯达黎加 卡内特 音乐家系列 莫扎特1900M 葡萄干蜜处理,哥斯达黎加,Camell庄园,Caturra,11.3,葡萄干蜜处理,840,SHB,1900,2023,200
哥斯达黎加卡内特庄园葡萄干蜜处理音乐家肖邦,哥斯达黎加,Cane庄园,Catura,11.1,葡萄干蜜处理,817,SHB,1700,2025,190
哥斯达黎加米拉珠庄园葡萄干蜜处理（瑰夏拼配）,哥斯达黎加,Minau庄园,Gelida ETR SL28 Malco,10.8,葡萄干蜜处理,815,SHB,1700,2025,155
哥斯达黎加米拉珠庄园瑰夏拼配酵素水洗,哥斯达黎加,Minau庄园,Gelida ETR SL28 Malco,11.2,酵素水洗处理,837,SHB,1700,2025,160
哥斯达黎加米拉珠庄园卡杜拉红蜜,哥斯达黎加,Minau庄园,Catura,11,红蜜处理,817,SHB,1700,2025,137
哥斯达黎加尼石庄园F1黑蜜处理,哥斯达黎加,Finda Las Piedra,F1,10.6,黑蜜处理,862,SHB,1700-1800,2025,130
哥斯达黎加小蜜蜂黑蜜处理,哥斯达黎加,SAN VITOJA ABE JILIA FARM,Veneda,10.8,黑蜜处理,902,SHB,1600,2025,135
哥斯达黎加小蜜蜂H1红蜜处理,哥斯达黎加,SAN VITOJA ABE JILIA FARM,H1,10.9,红蜜处理,852,SHB,1600,2025,128
哥斯达黎加维斯特维拉萨奇黑蜜处理,哥斯达黎加,West Valley Beneficio Vista al Valle,VILLA SARCHI,11.8,黑蜜处理,862,SHB,1500-1600,2025,120
哥斯达黎加 拉斯拉哈斯 黑灵魂,哥斯达黎加,中央山谷 拉斯拉哈斯庄园,卡杜拉 卡杜艾,11,日晒处理,864,SHB,1600,2025,145
哥斯达黎加 拉斯拉哈斯 黑珍珠日晒,哥斯达黎加,中央山谷 拉斯拉哈斯庄园,Caturra,11.8,黑珍珠日晒,795,SHB,1600,2024,137
秘鲁 禅茶玛悠 瑰夏 厌氧水洗,秘鲁,禅茶玛悠 COOPCHE（库普合作社）,GEISHA,11,厌氧水洗,853,SHB,1800,2025,205
秘鲁 禅茶玛悠 瑰夏 黄蜜处理,秘鲁,禅茶玛悠 COOPCHE（库普合作社）,GEISHA,11.2,黄蜜处理,865,SHB,1800,2025,205
萨尔瓦多 戈巴多庄园 彩虹波旁厌氧日晒,萨瓦尔多,Finca El Gobiado Ahuachapán,Orange Yellow Red Bourbon,10.4,厌氧日晒处理,887,SHB,1300,2023,140
危地马拉 安提瓜 拉米尼塔 花神,危地马拉,Antigua 拉米尼塔,卡杜拉 卡杜艾 波旁,12.4,水洗处理,836,SHB,1200-1600,2024,102
巴拿马 翡翠庄园 瑰夏 绿标 日晒,巴拿马,翡翠庄园 Cañas Verdès,Geisha,11.1,日晒处理,875,SHB,1750,2025,990
巴拿马 翡翠庄园 红标 瑰夏 水洗,巴拿马,翡翠庄园,Geisha,11.3,水洗处理,856,SHB,1700以上,2025,2000
巴拿马 驴子庄园 瑰夏 ASD厌氧慢速日晒,巴拿马,Boquete  EI Burro Estate,Geisha,9.9,厌氧慢速日晒,829,SHB,1700-1800,2023,920
巴拿马 翡翠庄园 瑰夏 绿标 水洗,巴拿马,翡翠庄园 Jaramillo,Geisha,10.2,水洗处理,868,SHB,1600以上,2023,760
巴拿马 石墙庄园红标瑰夏日晒,巴拿马,Los Lajones,Geisha,11.3,日晒处理,854,SHB,2800,2025,490
巴拿马 波奎特艾尔维拉庄园 瑰夏蓝标水洗,巴拿马,Booguely Elvira Estate,Geisha,10.3,水洗处理,855,SHB,2800,2024,500
巴拿马 玛玛卡特庄园 瑰夏蓝标水洗,巴拿马,巴拿马波奎特,Geisha,10.1,水洗处理,850,SHB,2250,2024,380
巴拿马 玛玛卡特庄园 瑰夏蓝标 厌氧日晒,巴拿马,巴拿马波奎特,Geisha,10.9,日晒处理,856,SHB,3000,2023,350
巴拿马 科特瓦女巫庄园 瑰夏日晒,巴拿马,巴拿马波奎特,Geisha,10.9,日晒处理,850,SHB,3000,2024,568
巴拿马 卡萨路易斯庄园 瑰夏日晒,巴拿马,Booguelo,Geisha,10.8,日晒处理,840,SHB,1500,2023,560
巴拿马 90+ Volcan Valley 瑰夏,巴拿马,Minety Plus,Geisha,10.9,90+处理量,870,SHB,3000,2023,395
巴拿马 维纳斯小农 瑰夏蓝标 水洗,巴拿马,波奎特,Geisha,11,水洗处理,856,SHB,2800,2024,360
卢旺达 基加利 水洗,卢旺达,Kigal,Bourbon Typica,10.8,水洗处理,885,A,1650-1900,2024,95
坦桑尼亚 阿鲁沙庄园 小红莓 AB 精品,坦桑尼亚,Arusha 梅鲁火山,Bourbon,11.4,水洗处理,790,AB,1800,2023,100
巴拿马 波奎特 花蝴蝶70%瑰夏 厌氧日晒,巴拿马,Boquete,70%Geisha Catuai caturra,10.9,厌氧日晒处理,860,SHB,1600-1700,2024,235
巴拿马 波奎特 花蝴蝶70%瑰夏 水洗,巴拿马,Boquete,70%Geisha Catuai caturra,12.5,水洗处理,865,SHB,1400-1700,2024,160
洪都拉斯 莫卡庄园 威士忌酒桶发酵处理,洪都拉斯,Masaguara  马萨瓜拉,卡杜拉 卡杜艾,12.5,威士忌酒桶发酵,835,SHG,1500-1700,2025,175
荔枝兰.洪都拉斯 莫卡庄园 白兰地酒桶发酵水洗,洪都拉斯,Masaguara  马萨瓜拉,Typica 铁皮卡,11,白兰地酒桶发酵水洗,794,SHG,1500-1700,2024,180
牙买加 康丘特庄园 蓝山一号 水洗,牙买加,Country Traders Estate,BLUE MOUNTAIN,11.2,水洗处理,845,G1,1600,2025,580
