类型,编号,咖啡豆名,风味
精品,S30-9,哥伦比亚金迪欧苏利亚庄园柑橘日晒哥伦比亚,柳橙，菠萝，奇异果，红糖。
精品,S31-4,哥伦比亚蒙特布兰克庄园紫卡杜拉薄荷水洗哥伦比亚,薄荷巧克力、香蕉清冰、肉桂、冰糖。
精品,S32-4,花月夜哥伦比亚慧兰艾斯维多加汀庄园厌氧日晒哥伦比亚,菠萝、芒果、 荔枝、 哈密瓜
精品,S32-5,玫瑰谷哥伦比亚大树庄园双重厌氧水洗哥伦比亚,草莓酱、水蜜桃、香蕉、蜜瓜。
精品,S32-6,哥伦比亚微风庄园瑰夏水洗哥伦比亚,白桃，杏仁，茶感，花香，蓝莓。
精品,S32-8,哥伦比亚牧羊人庄园粉红波旁水洗哥伦比亚,青柠，苹果，葡萄，蜂蜜，焦糖，口感细腻， 月中旬到货
精品,S33-1A,哥伦比亚鲜花庄园奇洛索厌氧日晒哥伦比亚,芒果，菠萝蜜，草莓，热带果汁。
精品,S33-1,哥伦比亚慧兰巴塔尼亚庄园奇罗索水洗哥伦比亚,花香，橙子，茴香香草，带有焦糖、巧克力和橘子的香气，
精品,S33-2,哥伦比亚心动庄园辣椒波旁水洗哥伦比亚,茉莉花香，葡萄柚，蓝莓，甜橙，轻香料，干净，酸质柔和。
精品,S33-3,肯尼亚涅里日晒肯尼亚,紫色花香，蔓越莓，山楂，樱桃，果汁感。 2025新产季
精品,S33-3A,肯尼亚涅里阿古辛厌氧日晒肯尼亚,红酒，莓果，李子，甜瓜。
精品,S33-4,肯尼亚涅里鲁沙卡AA微批次肯尼亚,莓果、柑橘的明亮酸度；伴随红糖、果茶的尾韵，口感饱满。 2025新产季
精品,S33-5,肯尼亚涅里鲁木齐亚合作社AA微批次肯尼亚,乌梅，圣女果，柑橘，黑醋粟，风味干净。 2025新产季
精品,S33-6,肯尼亚涅里超级玛蒂AB2025年美国世界烘焙大赛用豆,绿茶，柑橘，红糖，水果甜，高级抹茶。
精品,G2-4,埃塞俄比亚瑰夏村IllubaborForest埃塞俄比亚红标批次087日晒,花香，果酱，橘子，热带水果风味，甜瓜，高甜，丰富多变的滋味。
精品,G2-7,埃塞俄比亚瑰夏村GoriGesha埃塞俄比亚红标批次031蜜处理,草莓，葡萄，芒果，果糖甜。
精品,G3-1,埃塞俄比亚瑰夏村瑰夏种日晒处理查卡埃塞俄比亚,茉莉花香，荔枝，苹果，果汁感，砂糖甜感足。
精品,G3-2,埃塞俄比亚圣塔维尼水洗2025TOH第2名埃塞俄比亚,茉莉花，柑橘，浆果，热带水果。
精品,G3-3,埃塞俄比亚古吉罕贝拉2025TOH日晒第2名埃塞俄比亚,玫瑰花，荔枝，芭乐，杏桃。
精品,X5-4,埃塞俄比亚西达摩朵望丘红蜜2025TOH第3名埃塞俄比亚2025年TOH非洲总决赛蜜处理组第3名2024年TOH埃塞国赛蜜处理组第1名,"金桔汁，柠檬，优雅花香,黄糖，柚子茶。"
精品,G4-1,埃塞俄比亚2024TOH3水洗埃塞俄比亚,柠檬，柑橘，莓果，樱桃，黄糖，绿茶茶感。
精品,G4-2,埃塞俄比亚2024TOH6瑰夏水洗埃塞俄比亚,花香，柑橘，桃子，蜂蜜，绿茶，高甜感，口感干净顺滑。
精品,G4-3,埃塞俄比亚西达摩班莎Alo埃塞俄比亚果皮浸渍厌氧日晒微批次,木槿花，水果酒，草莓，树莓，酸质活泼，风味丰富。
精品,G4-5,2024空运批次埃塞俄比亚古齐Kebir梨桃花埃塞俄比亚2023TOH日晒冠军,花香，水蜜桃，柠檬，红茶，甜感好。
精品,G4-6,空运批次埃塞俄比亚Alo日晒蓝色波埃塞俄比亚,百香果，柑橘，香橙，花香，可可。
精品,G4-7,埃塞俄比亚西达摩KeramoMorke日晒埃塞俄比亚20年首届COE冠军庄园,花香，柑橘，甜杏，芒果，樱桃，热带水果，甜感很好，香气浓郁。
精品,G4-8,埃塞俄比亚西达摩KeramoFaficho日晒埃塞俄比亚20年首届COE冠军庄园,花香，柑橘， 草莓， 芒果， 樱桃， 黄糖，红茶。
精品,X1-1,埃塞俄比亚歌迪贝切切里G1日晒,花香，草莓，水蜜桃，蔓越莓，水果糖，蜂蜜，绿茶，口感顺滑。
